date,description,amount,balance
2025-12-19,Customer deposit,2124.51,-20457.31
2025-12-22,Customer deposit,2124.51,-18332.8
2025-12-24,Customer deposit,2124.51,-16208.29
2025-12-25,Payroll,-7500.0,-23708.29
2025-12-25,Supplier payment,-1272.78,-24981.07
2025-12-26,Customer deposit,2124.51,-22856.56
2025-12-29,Customer deposit,2124.51,-20732.05
2025-12-31,Customer deposit,2124.51,-18607.54
2026-01-01,Rent payment,-3200.0,-21807.54
2026-01-01,Loan repayment,-3800.0,-25607.54
2026-01-01,Supplier payment,-890.26,-26497.8
2026-01-02,Customer deposit,918.67,-25579.13
2026-01-05,Customer deposit,918.67,-24660.46
2026-01-07,Customer deposit,918.67,-23741.79
2026-01-08,Supplier payment,-993.48,-24735.27
2026-01-09,Customer deposit,918.67,-23816.6
2026-01-12,Customer deposit,918.67,-22897.93
2026-01-14,Customer deposit,918.67,-21979.26
2026-01-15,Supplier payment,-561.55,-22540.81
2026-01-16,Customer deposit,918.67,-21622.14
2026-01-19,Customer deposit,918.67,-20703.47
2026-01-21,Customer deposit,918.67,-19784.8
2026-01-22,Supplier payment,-730.17,-20514.97
2026-01-23,Customer deposit,918.67,-19596.3
2026-01-25,Payroll,-7500.0,-27096.3
2026-01-26,Customer deposit,918.67,-26177.63
2026-01-28,Customer deposit,918.67,-25258.96
2026-01-29,Supplier payment,-812.28,-26071.24
2026-01-30,Customer deposit,918.67,-25152.57
2026-02-01,Rent payment,-3200.0,-28352.57
2026-02-01,Loan repayment,-3800.0,-32152.57
2026-02-02,Customer deposit,472.43,-31680.14
2026-02-04,Customer deposit,472.43,-31207.71
2026-02-05,Supplier payment,-988.93,-32196.64
2026-02-06,Customer deposit,472.43,-31724.21
2026-02-09,Customer deposit,472.43,-31251.78
2026-02-11,Customer deposit,472.43,-30779.35
2026-02-12,Supplier payment,-1020.85,-31800.2
2026-02-13,Customer deposit,472.43,-31327.77
2026-02-16,Customer deposit,472.43,-30855.34
2026-02-18,Customer deposit,472.43,-30382.91
2026-02-19,Supplier payment,-1155.48,-31538.39
2026-02-20,Customer deposit,472.43,-31065.96
2026-02-23,Customer deposit,472.43,-30593.53
2026-02-25,Customer deposit,472.43,-30121.1
2026-02-25,Payroll,-7500.0,-37621.1
2026-02-26,Supplier payment,-1206.62,-38827.72
2026-02-27,Customer deposit,472.43,-38355.29
