date,description,amount,balance
2026-01-09,Customer deposit,1500.27,37326.56
2026-01-12,Customer deposit,1500.27,38826.83
2026-01-14,Customer deposit,1500.27,40327.1
2026-01-15,Supplier payment,-708.75,39618.35
2026-01-16,Customer deposit,1500.27,41118.62
2026-01-19,Customer deposit,1500.27,42618.89
2026-01-21,Customer deposit,1500.27,44119.16
2026-01-22,Supplier payment,-1177.1,42942.06
2026-01-23,Customer deposit,1500.27,44442.33
2026-01-25,Payroll,-7000.0,37442.33
2026-01-26,Customer deposit,1500.27,38942.6
2026-01-28,Customer deposit,1500.27,40442.87
2026-01-29,Supplier payment,-785.22,39657.65
2026-01-30,Customer deposit,1500.27,41157.92
2026-02-01,Rent payment,-2500.0,38657.92
2026-02-01,Loan repayment,-800.0,37857.92
2026-02-02,Customer deposit,1545.62,39403.54
2026-02-04,Customer deposit,1545.62,40949.16
2026-02-05,Supplier payment,-1261.83,39687.33
2026-02-06,Customer deposit,1545.62,41232.95
2026-02-09,Customer deposit,1545.62,42778.57
2026-02-11,Customer deposit,1545.62,44324.19
2026-02-12,Supplier payment,-815.13,43509.06
2026-02-13,Customer deposit,1545.62,45054.68
2026-02-16,Customer deposit,1545.62,46600.3
2026-02-18,Customer deposit,1545.62,48145.92
2026-02-19,Supplier payment,-733.99,47411.93
2026-02-20,Customer deposit,1545.62,48957.55
2026-02-23,Customer deposit,1545.62,50503.17
2026-02-25,Customer deposit,1545.62,52048.79
2026-02-25,Payroll,-7000.0,45048.79
2026-02-26,Supplier payment,-954.36,44094.43
2026-02-27,Customer deposit,1545.62,45640.05
